"apopNeutrophils","neutrophils","totalNeutrophils","m1 macs","m2 macs ","resMacs","m1ae","m1de","resMacs ODE","tick","random_seed"
NaN,NaN,NaN,0.0,23.0,1.9199999999999997,1.0,0.0,2.0,104.0,1831506905
NaN,NaN,NaN,0.0,23.0,1.9199999999999997,1.0,0.0,2.0,105.0,1831506905
NaN,NaN,NaN,0.0,22.791666666666668,1.9166666666666663,1.0,0.0,2.0,106.0,1831506905
NaN,NaN,NaN,0.0,22.5,1.9166666666666663,1.0,0.0,2.0,107.0,1831506905
NaN,NaN,NaN,0.0,23.0,1.9199999999999997,1.0,0.0,2.0,108.0,1831506905
NaN,NaN,NaN,0.0,23.923076923076923,1.923076923076923,1.0,0.0,2.0,109.0,1831506905
NaN,NaN,NaN,0.0,22.961538461538463,1.8461538461538458,1.0,0.0,2.0,110.0,1831506905
NaN,NaN,NaN,0.0,23.923076923076923,1.923076923076923,1.0,0.0,2.0,111.0,1831506905
NaN,NaN,NaN,0.0,23.037037037037038,1.8518518518518514,1.0,0.0,2.0,112.0,1831506905
NaN,NaN,NaN,0.0,25.82142857142857,1.9285714285714284,1.0,0.0,2.0,113.0,1831506905
NaN,NaN,NaN,0.0,25.481481481481485,1.9259259259259258,1.0,0.0,2.0,114.0,1831506905
NaN,NaN,NaN,0.0,23.44444444444444,1.8518518518518514,1.0,0.0,2.0,115.0,1831506905
NaN,NaN,NaN,0.0,25.2962962962963,1.9259259259259258,1.0,0.0,2.0,116.0,1831506905
NaN,NaN,NaN,0.0,24.88888888888889,1.9259259259259258,1.0,0.0,2.0,117.0,1831506905
NaN,NaN,NaN,0.0,24.42307692307692,1.923076923076923,1.0,0.0,2.0,118.0,1831506905
NaN,NaN,NaN,0.0,23.319999999999997,1.9199999999999997,1.0,0.0,2.0,119.0,1831506905
NaN,NaN,NaN,0.0,22.153846153846153,1.8461538461538458,1.0,0.0,2.0,120.0,1831506905
NaN,NaN,NaN,0.0,23.199999999999996,1.9199999999999997,1.0,0.0,2.0,121.0,1831506905
NaN,NaN,NaN,0.0,23.0,1.9166666666666663,1.0,0.0,2.0,122.0,1831506905
NaN,NaN,NaN,0.0,22.125,1.9166666666666663,1.0,0.0,2.0,123.0,1831506905
NaN,NaN,NaN,0.0,22.125,1.9166666666666663,1.0,0.0,2.0,124.0,1831506905
NaN,NaN,NaN,0.0,22.916666666666668,1.9166666666666663,1.0,0.0,2.0,125.0,1831506905
NaN,NaN,NaN,0.0,22.125,1.9166666666666663,1.0,0.0,2.0,126.0,1831506905
NaN,NaN,NaN,0.0,22.58333333333333,1.9166666666666663,1.0,0.0,2.0,127.0,1831506905
NaN,NaN,NaN,0.0,22.125,1.9166666666666663,1.0,0.0,2.0,128.0,1831506905
NaN,NaN,NaN,0.0,22.125,1.9166666666666663,1.0,0.0,2.0,129.0,1831506905
NaN,NaN,NaN,0.0,21.39130434782609,1.9130434782608692,1.0,0.0,2.0,130.0,1831506905
NaN,NaN,NaN,0.0,21.695652173913047,1.9130434782608692,1.0,0.0,2.0,131.0,1831506905
NaN,NaN,NaN,0.0,21.08695652173913,1.9130434782608692,1.0,0.0,2.0,132.0,1831506905
NaN,NaN,NaN,0.0,21.08695652173913,1.9130434782608692,1.0,0.0,2.0,133.0,1831506905
NaN,NaN,NaN,0.0,19.227272727272727,1.818181818181818,1.0,0.0,2.0,134.0,1831506905
NaN,NaN,NaN,0.0,19.217391304347828,1.8260869565217386,1.0,0.0,2.0,135.0,1831506905
NaN,NaN,NaN,0.0,21.0,1.9130434782608692,1.0,0.0,2.0,136.0,1831506905
NaN,NaN,NaN,0.0,20.083333333333336,1.833333333333333,1.0,0.0,2.0,137.0,1831506905
NaN,NaN,NaN,0.0,19.47826086956521,1.8260869565217388,1.0,0.0,2.0,138.0,1831506905
NaN,NaN,NaN,0.0,20.956521739130434,1.9130434782608692,1.0,0.0,2.0,139.0,1831506905
NaN,NaN,NaN,0.0,20.956521739130434,1.9130434782608692,1.0,0.0,2.0,140.0,1831506905
NaN,NaN,NaN,0.0,20.956521739130434,1.9130434782608692,1.0,0.0,2.0,141.0,1831506905
NaN,NaN,NaN,0.0,20.81818181818182,1.9090909090909087,1.0,0.0,2.0,142.0,1831506905
NaN,NaN,NaN,0.0,20.045454545454547,1.9090909090909087,1.0,0.0,2.0,143.0,1831506905
NaN,NaN,NaN,0.0,19.399999999999995,1.8999999999999997,1.0,0.0,2.0,144.0,1831506905
NaN,NaN,NaN,0.0,18.25,1.8999999999999997,1.0,0.0,2.0,145.0,1831506905
NaN,NaN,NaN,0.0,17.38095238095238,1.809523809523809,1.0,0.0,2.0,146.0,1831506905
NaN,NaN,NaN,0.0,19.142857142857142,1.9047619047619044,1.0,0.0,2.0,147.0,1831506905
NaN,NaN,NaN,0.0,20.045454545454547,1.9090909090909087,1.0,0.0,2.0,148.0,1831506905
NaN,NaN,NaN,0.0,20.045454545454547,1.9090909090909087,1.0,0.0,2.0,149.0,1831506905
NaN,NaN,NaN,0.0,20.956521739130434,1.9130434782608692,1.0,0.0,2.0,150.0,1831506905
NaN,NaN,NaN,0.0,21.874999999999996,1.9166666666666663,1.0,0.0,2.0,151.0,1831506905
NaN,NaN,NaN,0.0,21.000000000000004,1.8399999999999994,1.0,0.0,2.0,152.0,1831506905
NaN,NaN,NaN,0.0,21.520000000000003,1.8399999999999994,1.0,0.0,2.0,153.0,1831506905
NaN,NaN,NaN,0.0,21.200000000000003,1.8399999999999996,1.0,0.0,2.0,154.0,1831506905
NaN,NaN,NaN,0.0,23.560000000000002,1.9199999999999997,1.0,0.0,2.0,155.0,1831506905
NaN,NaN,NaN,0.0,22.800000000000004,1.9199999999999997,1.0,0.0,2.0,156.0,1831506905
NaN,NaN,NaN,0.0,22.173913043478265,1.9130434782608692,1.0,0.0,2.0,157.0,1831506905
NaN,NaN,NaN,0.0,20.363636363636363,1.9090909090909087,1.0,0.0,2.0,158.0,1831506905
NaN,NaN,NaN,0.0,19.571428571428573,1.9047619047619044,1.0,0.0,2.0,159.0,1831506905
NaN,NaN,NaN,0.0,19.954545454545453,1.9090909090909087,1.0,0.0,2.0,160.0,1831506905
