"total size","ECM","necrosis","tick","fiber"
13403.0,4804.0,0.0,589.0,8599.0
13404.0,4802.0,0.0,590.0,8602.0
13404.0,4800.0,0.0,591.0,8604.0
13404.0,4797.0,0.0,592.0,8607.0
13406.0,4797.0,0.0,593.0,8609.0
13406.0,4797.0,0.0,594.0,8609.0
13407.0,4798.0,0.0,595.0,8609.0
13407.0,4798.0,0.0,596.0,8609.0
13407.0,4797.0,0.0,597.0,8610.0
13407.0,4797.0,0.0,598.0,8610.0
13407.0,4797.0,0.0,599.0,8610.0
13407.0,4795.0,0.0,600.0,8612.0
13408.0,4794.0,0.0,601.0,8614.0
13427.0,4812.0,0.0,602.0,8615.0
13418.0,4804.0,0.0,603.0,8614.0
13419.0,4804.0,0.0,604.0,8615.0
